"id","name"
1989,"Jeremy Luterbacher"
1990,"Paul Mäder"
1991,"André Maeder"
1992,"Irene Maffi"
1993,"Ludovic Maggioni"
1994,"Neil Mancktelow"
1995,"Stefan Mann"
1996,"Marta Manser"
1997,"Jan Anders Månson"
1998,"Ioannis Mantzaras"
1999,"Brigitte Marazzi"
2000,"François Maréchal"
2001,"Stefan Margreth"
2002,"Olivier Maridet"
2004,"Sara Marks"
2005,"Rüggeberg Markus"
2006,"Rahier Martine"
2007,"Rossana Martini"
2008,"Alcherio Martinoli"
2009,"Peter Marty"
2010,"Roberto Mastropietro"
2011,"Jon Mathieu"
2012,"Heinz Mathis"
2013,"Alexander Mathys"
2014,"Nicole Mathys"
2015,"Blake Matthews"
2016,"Felix Mauch"
2017,"Hansruedi Maurer"
2019,"Max Maurer"
2020,"Veronika Maurer"
2021,"Heike Mayer"
2022,"Ingo Mayer"
2023,"Christian Mazza"
2024,"Marco Mazzotti"
2026,"Christa McArdell"
2027,"Bruce McDonald"
2028,"Kristopher
Kristopher McNeill"
2029,"Bori Meier"
2030,"Jürg Meier"
2031,"Regula Meierhofer"
2032,"Carlos Melian"
2033,"Monica Mendez"
2034,"Urs-Peter Menti"
2035,"Myles Menz"
2036,"Bertrand Merminod"
2037,"Peter Messerli"
2038,"Monika Messmer"
2040,"Susanne Metzger"
2041,"Reto Giulio Meuli"
2042,"Meike Mevissen"
2043,"Christian A. Meyer"
2044,"Thierry Meyer"
2045,"Peter Meyer Steiger"
2046,"Georges Meynet"
2047,"Klaus Mezger"
2048,"Katharina Michaelowa"
2049,"Jean-Bernard Michel"
2050,"Michel C. Milinkovitch"
2051,"Stefhen A. Miller"
2052,"Wanda Mimra"
2053,"Jürg Minsch"
2054,"Edward Mitchell"
2055,"Joachim Mohn"
2056,"Yves Mohri"
2057,"Jean-François Molinari"
2058,"Peter Molnar"
2059,"Juan Montoya-Burgos"
2060,"Manfred Morari"
2061,"Massimo Morbidelli"
2062,"Stephan Morgenthaler"
2063,"Jon Mosar"
2064,"Andrea Moscariello"
2065,"Heidrun Moschitz"
2066,"Jacques-E. Moser"
2067,"Juan R. Mosig"
2069,"Hans-Joachim Mosler"
2070,"Masoud Motavalli"
2071,"Beat Mueller"
2072,"Roland Mühlebach"
2074,"Andreas Müller"
2075,"Christoph Müller"
2076,"Christoph Müller"
2077,"Fritz Müller"
2078,"Priska Müller"
2079,"Ulrike Müller-Böker"
2080,"Markus Müller-Chen"
2081,"Heinz Müller-Schärer"
2082,"Chanana Munish"
2083,"Urs Muntwyler"
2084,"Aurelio Muttoni"
2085,"Yamama Naciri"
2086,"Andreas Naef"
2087,"Peter Nagel"
2088,"Siegfried Nagel"
2089,"Stéphane Nahrath"
2090,"Anita Julianne Tricia Narwani"
2091,"Christiane Nawrath"
2092,"Mohammad Khaja Nazeeruddin"
2093,"Stephan Nebiker"
2095,"Wolfgang Nentwig"
2096,"Birgit Neubauer-Letsch"
2097,"Jean-Marc Neuhaus"
2098,"Lukas Neutsch"
2099,"Reto Neuweiler"
2101,"Bueche Nicolas"
2102,"Bernhard Niederhauser"
2104,"Pascal A. Niklaus"
2105,"Flavio Noca"
2106,"Henrik Nordborg"
2107,"Roland Norer"
2109,"Bernd Nowack"
2110,"Christophe Nussbaum"
2111,"Alain Nussbaumer"
2112,"Thomas Nussbaumer"
2113,"Bernadette Oehen"
2115,"Thomas Oesch"
2116,"Kläusler Oliver"
2118,"Roland Olschewski"
2119,"Anne Oppliger"
2120,"Dani Or"
2121,"Michel Oris"
2122,"Christoph Ort"
2123,"Luca Ortelli"
2125,"Peter Ott"
2126,"Philippe Overney"
2127,"Arpat Ozgul"
2128,"Christian Paglia"
2129,"Raoul Palese"
2130,"John Pannell"
2131,"Mario Paolone"
2132,"Hyung Guy Park"
2134,"Eberhard Parlow"
2135,"Aurèle Parriaux"
2136,"Michele Parrinello"
2137,"Philippe Passeraub"
2138,"Bernhard Pauli"
2139,"Theres Paulsen"
2140,"Mark Pauly"
2141,"Marguerite Paus"
2142,"Jan Wojciech Pawlowski"
2143,"Joshua L. Payne"
2144,"Catherine Peichel"
2145,"Didier Pellet"
2146,"Loïc Pellissier"
2147,"Michele Pellizzari"
2148,"Jasquelin Peña"
2149,"Sebastian Pera Ibarguren"
2150,"Guiseppe Perale"
2151,"Guilherme Peretti-Pezzi"
2152,"Jakob Pernthaler"
2153,"Xavier Perret"
2154,"Yves Perriard"
2155,"Nicolas Perrin"
2156,"Pierre Perrochet"
2157,"Karl Perron"
2158,"Owen Petchey"
2159,"Thomas Peter"
2160,"Judith Peter-Egli"
2161,"Sonia Petignat-Keller"
2162,"Peter Petschek"
2164,"Daniel Pfenniger"
2165,"Lukas Pfiffner"
2166,"Marcia Phillips"
2167,"Umberto Piantini"
2168,"Marco Picasso"
2169,"Flavio Piccapietra"
2170,"Frédéric Pichelin"
2171,"Uwe Pieles"
2172,"Etienne Piguet"
2173,"Michael Plötze"
2175,"Yves Poirier"
2176,"Lucia Pollini Paltrinieri"
2177,"Francesco Pomati"
2178,"Thomas Posch"
2179,"Erik Postma"
2180,"Dimos Poulikakos"
2181,"Lily Poulikakos"
2182,"Maurizio Pozzoni"
2183,"Nikolas Prasianakis"
2184,"André Prévôt"
2185,"Michelle Price"
2186,"Erika Prina Howald"
2187,"Nicole Probst-Hensch"
2188,"Wouter Pronk"
2189,"Demetri Psaltis"
2190,"César Pulgarin"
2191,"Alessandro Puoti"
2192,"Roland Purtschert"
2193,"Ross Purves"
2194,"Marco Pütz"
2195,"Roberto Putzu"
2196,"Alexander Puzrin"
2197,"Frédéric Pythoud"
2198,"Alfio Quarteroni"
2199,"Wendy Lee Queen"
2200,"Valentin Queloz"
2201,"Christiane Raab"
